,name,handedness,height,weight,avg,HR
822,Rick Auerbach,R,72,165,0.22,9
824,Don Wilson,R,74,195,0.146,1
827,Sandy Valdespino,L,68,170,0.23,7
831,Ken Phelps,L,73,209,0.239,123
832,Cesar Cedeno,R,74,175,0.285,199
834,Phil Linz,R,73,180,0.235,11
835,Manny Mota,R,70,160,0.304,31
837,Steve Renko,R,77,230,0.215,6
838,Rick Sofield,L,73,195,0.243,9
841,Doug DeCinces,R,74,190,0.259,237
842,John Castino,R,71,175,0.278,41
843,Dave May,L,70,186,0.251,96
844,Ron Washington,R,71,155,0.261,20
845,Billy Grabarkewitz,R,70,165,0.236,28
846,Willie Aikens,L,75,220,0.271,110
847,Earl Williams,R,75,215,0.247,138
850,Don Hahn,R,73,180,0.236,7
851,Todd Cruz,R,72,175,0.22,34
852,Tom Egan,R,76,218,0.2,22
853,Bob Heise,R,72,175,0.247,1
854,Tommy Harper,R,69,165,0.257,146
855,Joe Wallis,B,71,180,0.244,16
856,Max Alvis,R,71,185,0.247,111
857,Rico Carty,R,75,200,0.299,204
858,Mike Cubbage,L,72,180,0.258,34
860,Merritt Ranew,L,71,170,0.247,8
861,Lyman Bostock,L,73,180,0.311,23
862,Damaso Garcia,R,73,165,0.283,36
865,Roy Howell,L,73,190,0.261,80
866,Boog Powell,L,76,230,0.266,339
868,Sonny Siebert,R,75,190,0.173,12
870,Bobby Darwin,R,74,190,0.251,83
872,Dan Driessen,L,71,187,0.267,153
873,Bruce Miller,R,73,185,0.246,1
874,Bob Bailor,R,71,170,0.264,9
875,Tommy Helms,R,70,165,0.269,34
876,Tony Armas,R,71,182,0.252,251
877,Willie Horton,R,71,209,0.273,325
878,Lou Piniella,R,72,182,0.291,102
879,Butch Hobson,R,73,193,0.248,98
880,John Wathan,R,74,205,0.262,21
881,Hal King,L,73,200,0.214,24
882,Mike Krukow,R,77,205,0.193,5
883,Andres Mora,R,72,180,0.223,27
884,Barry Foote,R,75,205,0.23,57
885,Ed Ott,L,70,190,0.259,33
886,Alan Wiggins,B,74,160,0.259,5
887,Ron Clark,R,70,175,0.189,5
890,Julio Gotay,R,72,180,0.26,6
891,Gary Alexander,R,74,195,0.23,55
892,Andre Thornton,R,75,200,0.254,253
893,Bob Oliver,R,75,205,0.256,94
899,Bob Robertson,R,73,195,0.242,115
902,Ollie Brown,R,74,178,0.265,102
904,Frank Quilici,R,73,170,0.214,5
906,Joe Pepitone,L,74,185,0.258,219
907,Steve Barber,L,72,195,0.115,5
909,Norm Miller,L,70,185,0.238,24
912,Bob Chance,L,74,196,0.261,24
913,Julio Cruz,B,69,165,0.237,23
914,Bill Sample,R,69,175,0.272,46
917,Craig Kusick,R,75,210,0.235,46
918,Rudy Meoli,L,69,165,0.212,2
919,Ruppert Jones,L,70,170,0.25,147
920,Glenn Hoffman,R,73,175,0.242,23
921,Russ Gibson,R,73,195,0.228,8
923,Terry Francona,L,73,190,0.274,16
924,John Bateman,R,75,210,0.23,81
925,Luis Pujols,R,74,175,0.193,6
926,Joe Gaines,R,73,190,0.241,21
927,Doug Rader,R,74,208,0.251,155
928,Mickey Stanley,R,73,185,0.248,117
931,Phil Bradley,R,72,185,0.286,78
932,Winston Llenas,R,70,165,0.23,3
933,Charlie Moore,R,71,180,0.261,36
934,Ralph Garr,L,71,185,0.306,75
935,Tommy John,R,75,180,0.157,5
936,Bruce Benedict,R,73,175,0.242,18
937,John Ellis,R,74,225,0.262,69
938,Wes Parker,B,73,180,0.267,64
940,David Green,R,75,170,0.268,31
941,Reid Nichols,R,71,165,0.266,22
942,Rick Reichardt,R,75,210,0.261,116
943,Luis Tiant,R,72,180,0.164,5
945,Broderick Perkins,L,70,180,0.271,8
946,Leon Roberts,R,75,200,0.267,78
947,Ray Burris,R,77,200,0.151,1
948,Len Gabrielson,L,76,210,0.253,37
949,Johnny Edwards,L,76,220,0.242,81
951,Tom Grieve,R,74,190,0.249,65
953,Bob Forsch,R,76,200,0.213,12
955,Danny Cater,R,72,170,0.276,66
956,Bill Schroeder,R,74,200,0.24,61
957,Clay Dalrymple,L,72,190,0.233,55
958,Carlos May,L,71,200,0.274,90
959,Reggie Smith,B,72,180,0.287,314
960,Ron Reed,R,78,215,0.158,0
962,Davey Johnson,R,73,170,0.261,136
963,Ellis Valentine,R,76,205,0.278,123
964,Roy White,B,70,160,0.271,160
965,Mike Brumley,L,70,195,0.229,5
966,Al Luplow,L,70,175,0.235,33
968,Dick Allen,R,71,187,0.292,351
969,Doug Ault,R,75,200,0.236,17
970,Mark Wagner,R,72,165,0.243,3
972,Willie Stargell,L,74,188,0.282,475
973,Steve Carlton,L,76,210,0.201,13
974,Jake Wood,R,73,163,0.25,35
975,Del Unser,L,73,180,0.258,87
976,Bob Brower,R,71,185,0.242,17
977,Ray Culp,R,72,200,0.123,1
978,Ivan Murrell,R,74,195,0.236,33
979,Lee Mazzilli,B,73,180,0.259,93
980,Garth Iorg,R,71,170,0.258,20
981,Alan Ashby,B,74,185,0.245,90
982,Bob Brenly,R,74,210,0.247,91
983,Ron Blomberg,L,73,195,0.293,52
984,Jim Rooker,R,72,195,0.201,7
985,Tim Blackwell,B,71,170,0.228,6
987,Jerry Morales,R,70,155,0.259,95
988,Davey Lopes,R,69,170,0.263,155
989,Catfish Hunter,R,72,190,0.226,6
990,Mario Soto,R,72,174,0.132,1
991,Jimmy Wynn,R,70,160,0.25,291
992,Hank Allen,R,72,190,0.241,6
993,Jim Fregosi,R,73,190,0.265,151
994,Pepe Frias,R,70,159,0.24,1
995,Mike Schmidt,R,74,195,0.267,548
996,Willie Montanez,L,72,170,0.275,139
997,Rey Quinones,R,71,160,0.243,29
998,Mike Squires,L,71,185,0.26,6
999,Champ Summers,L,74,205,0.255,54
1001,Bert Campaneris,R,70,160,0.259,79
1002,Bobby Valentine,R,70,189,0.26,12
1003,Rob Andrews,R,72,185,0.251,3
1004,Tom Haller,L,76,195,0.257,134
1006,Ed Stroud,L,71,180,0.237,14
1007,Ron Swoboda,R,74,195,0.242,73
1008,Harry Spilman,L,73,180,0.237,18
1009,Bob Barton,R,72,175,0.226,9
1010,Daryl Sconiers,L,74,185,0.265,15
1011,Joe Torre,R,74,212,0.297,252
1012,Al Ferrara,R,73,200,0.259,51
1014,Sixto Lezcano,R,70,165,0.271,148
1016,Dave Nicholson,R,74,215,0.212,61
1017,Freddie Patek,R,65,148,0.242,41
1018,Ken Hubbs,R,74,175,0.247,14
1019,Pepe Mangual,R,70,157,0.242,16
1020,Leron Lee,L,72,196,0.25,31
1022,Steve Ontiveros,B,72,185,0.274,24
1023,Willie Davis,L,74,180,0.279,182
1024,Tom Lawless,R,71,170,0.207,2
1025,Jerry Moses,R,75,210,0.251,25
1026,Bobby Bonds,R,73,190,0.268,332
1027,Dave McNally,R,71,185,0.133,9
1028,Darrell Brown,B,72,184,0.274,1
1029,Roy Foster,R,72,185,0.253,45
1030,Denis Menke,R,72,185,0.25,101
1031,Hal Breeden,R,74,200,0.243,21
1032,Manny Trillo,R,73,150,0.263,61
1033,Jackie Gutierrez,R,71,175,0.237,4
1034,Jerry Kenney,L,73,170,0.237,7
1035,Fred Kendall,R,73,185,0.234,31
1036,Mike Anderson,R,74,200,0.246,28
1038,Joe Charboneau,R,74,205,0.266,29
1039,Jimmie Schaffer,R,69,170,0.223,11
1040,Junior Kennedy,R,71,175,0.248,4
1041,Wilbur Howard,B,74,170,0.25,6
1042,Rod Gilbreath,R,74,180,0.248,14
1043,Mark Brouhard,R,73,210,0.259,25
1045,Mike Young,B,74,195,0.247,72
1046,Chris Speier,R,73,175,0.246,112
1047,Gene Michael,B,74,183,0.229,15
1048,Vic Harris,B,71,165,0.217,13
1049,Mike Fischlin,R,73,165,0.22,3
1050,Don Money,R,73,170,0.261,176
1051,Joe Rudi,R,74,200,0.264,179
1052,Jim Rice,R,74,200,0.298,382
1055,Gil Garrido,R,69,150,0.237,1
1056,Marty Perez,R,71,160,0.246,22
1057,Tom Matchick,L,73,173,0.215,4
1058,Jack Perconte,L,70,160,0.27,2
1059,Ed Kirkpatrick,L,71,195,0.238,85
1060,Jerry Grote,R,70,185,0.252,39
1061,Ellie Hendricks,L,73,175,0.22,62
1062,Jim Beauchamp,R,74,190,0.231,14
1064,Tito Fuentes,B,71,175,0.268,45
1065,Ron Brand,R,67,167,0.239,3
1066,Leo Cardenas,R,71,150,0.257,118
1067,Art Shamsky,L,73,168,0.253,68
1069,Ron Cey,R,70,185,0.261,316
1070,Skip Jutze,R,71,190,0.215,3
1071,Butch Wynegar,B,73,190,0.255,65
1072,Ron LeFlore,R,72,200,0.288,59
1073,Bill Russell,R,72,175,0.263,46
1074,Gene Tenace,R,72,190,0.241,201
1075,Bubba Morton,R,70,175,0.267,14
1076,Ellie Rodriguez,R,71,185,0.245,16
1077,Darrel Chaney,B,74,188,0.217,14
1078,Dick Nen,L,74,200,0.224,21
1080,Bill Freehan,R,75,203,0.262,200
1081,Steve Nicosia,R,70,185,0.248,11
1082,Ted Savage,R,73,185,0.233,34
1083,Pete Mackanin,R,74,190,0.226,30
1084,Rich Dauer,R,72,180,0.257,43
1085,Mick Kelleher,R,69,176,0.213,0
1086,Rowland Office,L,72,170,0.259,32
1087,Rick Leach,L,73,180,0.268,18
1088,Dwayne Murphy,L,73,185,0.246,166
1089,Larry Harlow,L,74,185,0.248,12
1090,Mike Epstein,L,75,230,0.244,130
1091,Jerry Mumphrey,B,74,185,0.289,70
1092,Don Sutton,R,73,185,0.144,0
1093,Glenn Beckert,R,73,190,0.283,22
1094,Ron Davis,R,72,175,0.233,10
1095,Mike Shannon,R,75,195,0.255,68
1096,Jason Thompson,L,76,200,0.261,208
1097,Wayne Tolleson,B,69,160,0.241,9
1100,Mike Jorgensen,L,72,195,0.243,95
1101,Ed Romero,R,71,160,0.247,8
1102,Rick Joseph,R,73,192,0.243,13
1103,Cecil Cooper,L,74,165,0.298,241
1104,Bill Almon,R,75,180,0.254,36
1105,Joe Ferguson,R,74,200,0.24,122
1107,Jerry Terrell,R,71,165,0.253,4
1109,Dave Revering,L,76,210,0.265,62
1110,Curt Ford,L,70,150,0.245,7
1111,Jerry Dybzinski,R,74,180,0.234,3
1113,Bob Burda,L,71,174,0.224,13
1114,Jesse Gonder,L,70,180,0.251,26
1115,Gary Sutherland,R,72,185,0.243,24
1116,Bob Coluccio,R,71,183,0.22,26
1117,Dave Rader,L,71,165,0.257,30
1118,Ron Gardenhire,R,72,175,0.232,4
1119,Bill Sharp,L,70,178,0.255,9
1120,Alan Bannister,R,71,170,0.27,19
1121,Bob Watson,R,72,201,0.295,184
1122,Ken Harrelson,R,74,190,0.239,131
1123,Bobby Wine,R,73,187,0.215,30
1125,John Kennedy,R,72,185,0.225,32
1126,Chico Ruiz,B,72,169,0.24,2
1128,Gail Hopkins,L,70,198,0.266,25
1129,Doug Frobel,L,76,196,0.201,20
1130,Luis Melendez,R,72,165,0.248,9
1132,Bill Plummer,R,73,190,0.188,14
1133,Buck Rodgers,B,74,190,0.232,31
1134,Phil Niekro,R,73,180,0.169,7
1136,Tom Poquette,L,70,175,0.268,10
1138,Brian Asselstine,L,73,175,0.254,12
1139,Rick Miller,L,72,175,0.269,28
1140,Ed Charles,R,70,170,0.263,86
1141,Luis Gomez,R,69,150,0.21,0
1144,Floyd Rayford,R,70,190,0.244,38
1146,Tony Conigliaro,R,75,185,0.264,166
1148,Jim Barr,R,75,205,0.162,1
1149,Jerry Remy,L,69,165,0.275,7
1151,Frank Duffy,R,73,180,0.232,26
1153,Tom O'Malley,L,72,180,0.256,13
1154,Phil Garner,R,70,175,0.26,109
